,date,author,post_name,post_tag,post_id,link,Посетители,Читатели,Уникальные пользователи,% недочитываемости,Глубина просмотра,Ср. время на сайте (сек)
64,2024-06-07 16:31:00,Не указан,Телеканал «Пятница!» совместно с Yappy объявили начало кастинга в интеллектуальное шоу «Умнее всех»,Пресс-релизы,323179,https://adindex.ru/news/releases/2024/06/6/323179.phtml?erid=2VtzqwFoGk6,9.0,79.0,9.0,0.0,3.8,363.8
65,2024-06-07 15:48:00,Не указан,Pari поддержит сборную Сербии на чемпионате Европы,Пресс-релизы,323203,https://adindex.ru/news/releases/2024/06/7/323203.phtml,43.0,122.0,43.0,0.0,1.48148148,89.22222222
66,2024-06-07 15:40:00,Мария Хайкина,МАЕР предоставит дополнительное эфирное время для соцпроектов,Пресс-релизы,323205,https://adindex.ru/news/releases/2024/06/7/323205.phtml?erid=2Vtzqw5Y5Kt,22.0,100.0,21.0,0.0,3.833333335,109.133333335
67,2024-06-07 15:08:00,Елизавета Ронжина,Директор по маркетингу Mixit перешел в Divage,Кадры,323213,https://adindex.ru/news/hr/2024/06/7/323213.phtml,72.0,330.0,69.0,0.0,2.085,77.00166666499999
68,2024-06-07 14:30:00,Мария Хайкина,Игроник и Russ договорились о совместном продвижении российских товаров и услуг,Пресс-релизы,323204,https://adindex.ru/news/releases/2024/06/7/323204.phtml?erid=2Vtzqws7X8J,8.0,72.0,8.0,0.0,8.0,180.0
69,2024-06-07 13:25:00,Елизавета Ронжина,Диджитал-инфлюенсер «Пятницы!» переехал на дачу,Креатив,323210,https://adindex.ru/news/creative/2024/06/7/323210.phtml,53.0,311.0,50.0,19.165,4.375,723.0625
70,2024-06-07 12:36:00,Елизавета Ронжина,Антон Ефимов возглавит новое трейдинг-подразделение в OMD OM Group,Маркетинг,323208,https://adindex.ru/news/marketing/2024/06/7/323208.phtml,65.0,286.0,61.0,0.0,2.715,111.30529412000001
71,2024-06-07 11:10:00,Не указан,Авторы «ВКонтакте» смогут получать выплаты без оформления юрлица или самозанятости,Digital,323202,https://adindex.ru/news/digital/2024/06/7/323202.phtml,64.0,355.0,63.0,0.0,3.0,175.16666666499998
72,2024-06-07 10:03:00,Не указан,Финал конкурса рекламы «Битва креаторов» состоится 7 июня в Саранске,Пресс-релизы,323199,https://adindex.ru/news/releases/2024/06/7/323199.phtml,9.0,32.0,9.0,0.0,4.25,328.333333335
73,2024-06-07 09:40:00,Не указан,Юлия Пересильд и ее дочь представили новую коллекцию Ecco,Тенденции,323198,https://adindex.ru/news/tendencies/2024/06/7/323198.phtml,91.0,302.0,89.0,0.0,1.675,53.95
74,2024-06-07 08:37:00,Не указан,Стриминг «Звук» будет развивать театральное искусство,Маркетинг,323197,https://adindex.ru/news/marketing/2024/06/7/323197.phtml,28.0,136.0,25.0,33.335,2.1,262.21
